文件路径,识别结果,位置,置信度,用时
Camera: 0,红细胞,"[446, 46, 502, 171]",0.8068148493766785,0.021999597549438477
Camera: 0,红细胞,"[563, 3, 640, 151]",0.8799210786819458,0.021999597549438477
Camera: 0,红细胞,"[515, 318, 619, 380]",0.8897835612297058,0.021999597549438477
Camera: 0,中性粒细胞,"[305, 330, 448, 550]",0.8974645137786865,0.021999597549438477
Camera: 0,中性粒细胞,"[224, 106, 338, 319]",0.9001640677452087,0.021999597549438477
Camera: 0,红细胞,"[526, 353, 640, 488]",0.9056273698806763,0.021999597549438477
Camera: 0,嗜碱细胞,"[449, 124, 633, 318]",0.9150224924087524,0.021999597549438477
Camera: 0,红细胞,"[448, 385, 559, 538]",0.9245710372924805,0.021999597549438477
Camera: 0,红细胞,"[568, 299, 638, 321]",0.2644960880279541,0.023999929428100586
Camera: 0,嗜碱细胞,"[447, 322, 524, 406]",0.34820252656936646,0.023999929428100586
Camera: 0,红细胞,"[447, 0, 563, 96]",0.5534076690673828,0.023999929428100586
Camera: 0,红细胞,"[603, 147, 639, 312]",0.5635091662406921,0.023999929428100586
Camera: 0,红细胞,"[446, 254, 498, 321]",0.6565524339675903,0.023999929428100586
Camera: 0,红细胞,"[446, 0, 522, 51]",0.6572097539901733,0.023999929428100586
Camera: 0,红细胞,"[576, 498, 638, 553]",0.8008916974067688,0.023999929428100586
Camera: 0,红细胞,"[446, 52, 500, 174]",0.834886908531189,0.023999929428100586
Camera: 0,红细胞,"[560, 5, 638, 153]",0.8697365522384644,0.023999929428100586
Camera: 0,中性粒细胞,"[306, 341, 447, 553]",0.8919162750244141,0.023999929428100586
Camera: 0,红细胞,"[514, 322, 618, 382]",0.8927774429321289,0.023999929428100586
Camera: 0,中性粒细胞,"[222, 110, 333, 321]",0.9024707078933716,0.023999929428100586
Camera: 0,红细胞,"[525, 357, 637, 490]",0.9126220345497131,0.023999929428100586
Camera: 0,嗜碱细胞,"[447, 128, 629, 322]",0.9187228083610535,0.023999929428100586
Camera: 0,红细胞,"[446, 388, 557, 541]",0.9342109560966492,0.023999929428100586
Camera: 0,红细胞,"[568, 299, 638, 321]",0.2648795545101166,0.019998550415039062
Camera: 0,嗜碱细胞,"[447, 322, 524, 406]",0.3482418954372406,0.019998550415039062
Camera: 0,红细胞,"[447, 0, 563, 96]",0.5529155135154724,0.019998550415039062
Camera: 0,红细胞,"[603, 147, 639, 312]",0.563784122467041,0.019998550415039062
Camera: 0,红细胞,"[446, 254, 498, 321]",0.6564627885818481,0.019998550415039062
Camera: 0,红细胞,"[446, 0, 522, 51]",0.6576391458511353,0.019998550415039062
Camera: 0,红细胞,"[576, 498, 638, 553]",0.8009858727455139,0.019998550415039062
Camera: 0,红细胞,"[446, 52, 500, 174]",0.8349933624267578,0.019998550415039062
Camera: 0,红细胞,"[560, 5, 638, 153]",0.8697555661201477,0.019998550415039062
Camera: 0,中性粒细胞,"[306, 341, 447, 553]",0.8920111060142517,0.019998550415039062
Camera: 0,红细胞,"[514, 322, 618, 382]",0.8928096294403076,0.019998550415039062
Camera: 0,中性粒细胞,"[222, 110, 333, 321]",0.9024856686592102,0.019998550415039062
Camera: 0,红细胞,"[525, 357, 637, 490]",0.9126030802726746,0.019998550415039062
Camera: 0,嗜碱细胞,"[447, 128, 629, 322]",0.91872239112854,0.019998550415039062
Camera: 0,红细胞,"[446, 388, 557, 541]",0.9342023134231567,0.019998550415039062
Camera: 0,红细胞,"[568, 299, 638, 321]",0.2658385634422302,0.01899862289428711
Camera: 0,嗜碱细胞,"[447, 322, 524, 406]",0.34788596630096436,0.01899862289428711
Camera: 0,红细胞,"[447, 0, 563, 96]",0.5460179448127747,0.01899862289428711
Camera: 0,红细胞,"[603, 147, 639, 312]",0.5634489059448242,0.01899862289428711
Camera: 0,红细胞,"[446, 254, 498, 321]",0.6570150852203369,0.01899862289428711
Camera: 0,红细胞,"[446, 0, 522, 51]",0.6576418876647949,0.01899862289428711
Camera: 0,红细胞,"[576, 498, 638, 553]",0.8010820746421814,0.01899862289428711
Camera: 0,红细胞,"[446, 52, 500, 174]",0.8348029255867004,0.01899862289428711
Camera: 0,红细胞,"[560, 5, 638, 153]",0.8700233101844788,0.01899862289428711
Camera: 0,中性粒细胞,"[306, 341, 447, 553]",0.8921363949775696,0.01899862289428711
Camera: 0,红细胞,"[514, 322, 618, 382]",0.8927878737449646,0.01899862289428711
Camera: 0,中性粒细胞,"[222, 110, 333, 321]",0.9024303555488586,0.01899862289428711
Camera: 0,红细胞,"[525, 357, 637, 490]",0.9126220345497131,0.01899862289428711
Camera: 0,嗜碱细胞,"[447, 128, 629, 322]",0.9186732769012451,0.01899862289428711
Camera: 0,红细胞,"[446, 388, 557, 541]",0.934209406375885,0.01899862289428711
Camera: 0,红细胞,"[568, 299, 638, 321]",0.2634764015674591,0.021001100540161133
Camera: 0,嗜碱细胞,"[447, 322, 525, 407]",0.36093106865882874,0.021001100540161133
Camera: 0,红细胞,"[447, 0, 563, 96]",0.5476528406143188,0.021001100540161133
Camera: 0,红细胞,"[603, 147, 639, 312]",0.5663721561431885,0.021001100540161133
Camera: 0,红细胞,"[446, 0, 522, 51]",0.656550943851471,0.021001100540161133
Camera: 0,红细胞,"[446, 254, 498, 321]",0.657995879650116,0.021001100540161133
Camera: 0,红细胞,"[576, 498, 638, 553]",0.7990272641181946,0.021001100540161133
Camera: 0,红细胞,"[446, 52, 500, 174]",0.8354764580726624,0.021001100540161133
Camera: 0,红细胞,"[560, 5, 638, 153]",0.8685356974601746,0.021001100540161133
Camera: 0,中性粒细胞,"[306, 341, 447, 553]",0.8923014402389526,0.021001100540161133
Camera: 0,红细胞,"[514, 322, 618, 382]",0.8932397961616516,0.021001100540161133
Camera: 0,中性粒细胞,"[222, 110, 333, 321]",0.9028611779212952,0.021001100540161133
Camera: 0,红细胞,"[525, 357, 637, 491]",0.9124312996864319,0.021001100540161133
Camera: 0,嗜碱细胞,"[447, 128, 629, 322]",0.9190214276313782,0.021001100540161133
Camera: 0,红细胞,"[446, 388, 557, 541]",0.9343517422676086,0.021001100540161133
Camera: 0,红细胞,"[568, 299, 638, 321]",0.25164851546287537,0.01699686050415039
Camera: 0,嗜碱细胞,"[447, 322, 525, 407]",0.36323559284210205,0.01699686050415039
Camera: 0,红细胞,"[447, 0, 563, 96]",0.5507142543792725,0.01699686050415039
Camera: 0,红细胞,"[603, 147, 639, 312]",0.5634864568710327,0.01699686050415039
Camera: 0,红细胞,"[446, 253, 498, 321]",0.6605693697929382,0.01699686050415039
Camera: 0,红细胞,"[446, 0, 522, 51]",0.6686379313468933,0.01699686050415039
Camera: 0,红细胞,"[576, 498, 638, 553]",0.7992235422134399,0.01699686050415039
Camera: 0,红细胞,"[446, 52, 500, 174]",0.8390923738479614,0.01699686050415039
Camera: 0,红细胞,"[560, 5, 638, 153]",0.8702727556228638,0.01699686050415039
Camera: 0,中性粒细胞,"[305, 339, 447, 553]",0.893200695514679,0.01699686050415039
Camera: 0,红细胞,"[514, 322, 617, 382]",0.8942514657974243,0.01699686050415039
Camera: 0,中性粒细胞,"[222, 110, 333, 321]",0.9003146290779114,0.01699686050415039
Camera: 0,红细胞,"[525, 357, 637, 491]",0.9139596819877625,0.01699686050415039
Camera: 0,嗜碱细胞,"[447, 128, 629, 322]",0.9194868206977844,0.01699686050415039
Camera: 0,红细胞,"[446, 388, 557, 541]",0.9351043701171875,0.01699686050415039
Camera: 0,嗜碱细胞,"[446, 319, 528, 408]",0.3460494875907898,0.0240023136138916
Camera: 0,红细胞,"[603, 145, 639, 309]",0.5081514120101929,0.0240023136138916
Camera: 0,红细胞,"[445, 0, 520, 50]",0.555844247341156,0.0240023136138916
Camera: 0,红细胞,"[446, 0, 564, 93]",0.6012753844261169,0.0240023136138916
Camera: 0,红细胞,"[446, 252, 500, 319]",0.6298831105232239,0.0240023136138916
Camera: 0,红细胞,"[575, 496, 638, 552]",0.7950375080108643,0.0240023136138916
Camera: 0,红细胞,"[446, 48, 500, 171]",0.8317457437515259,0.0240023136138916
Camera: 0,红细胞,"[561, 3, 638, 149]",0.8679991960525513,0.0240023136138916
Camera: 0,中性粒细胞,"[304, 333, 447, 552]",0.8932691216468811,0.0240023136138916
Camera: 0,红细胞,"[514, 319, 616, 380]",0.8942944407463074,0.0240023136138916
Camera: 0,中性粒细胞,"[221, 108, 334, 319]",0.8970035910606384,0.0240023136138916
Camera: 0,红细胞,"[525, 354, 637, 488]",0.9169505834579468,0.0240023136138916
Camera: 0,嗜碱细胞,"[447, 126, 629, 319]",0.9185560345649719,0.0240023136138916
Camera: 0,红细胞,"[446, 386, 557, 539]",0.9318304657936096,0.0240023136138916
Camera: 0,嗜碱细胞,"[446, 319, 528, 408]",0.34555599093437195,0.018001079559326172
Camera: 0,红细胞,"[603, 145, 639, 309]",0.5081304311752319,0.018001079559326172
Camera: 0,红细胞,"[445, 0, 520, 50]",0.5561240315437317,0.018001079559326172
Camera: 0,红细胞,"[446, 0, 564, 93]",0.6025700569152832,0.018001079559326172
Camera: 0,红细胞,"[446, 252, 500, 319]",0.6300240755081177,0.018001079559326172
Camera: 0,红细胞,"[575, 496, 638, 552]",0.794851541519165,0.018001079559326172
Camera: 0,红细胞,"[446, 48, 500, 171]",0.8319222927093506,0.018001079559326172
Camera: 0,红细胞,"[561, 3, 638, 149]",0.8679793477058411,0.018001079559326172
Camera: 0,中性粒细胞,"[304, 333, 447, 552]",0.89329993724823,0.018001079559326172
Camera: 0,红细胞,"[514, 319, 616, 380]",0.8943032026290894,0.018001079559326172
Camera: 0,中性粒细胞,"[221, 108, 334, 319]",0.8970500230789185,0.018001079559326172
Camera: 0,红细胞,"[525, 354, 637, 488]",0.9169591069221497,0.018001079559326172
Camera: 0,嗜碱细胞,"[447, 126, 629, 319]",0.9185714721679688,0.018001079559326172
Camera: 0,红细胞,"[446, 386, 557, 539]",0.9318299293518066,0.018001079559326172
Camera: 0,嗜碱细胞,"[446, 319, 528, 408]",0.3459548056125641,0.015996694564819336
Camera: 0,红细胞,"[603, 145, 639, 309]",0.5074979662895203,0.015996694564819336
Camera: 0,红细胞,"[445, 0, 520, 50]",0.559299647808075,0.015996694564819336
Camera: 0,红细胞,"[446, 0, 564, 93]",0.6021833419799805,0.015996694564819336
Camera: 0,红细胞,"[446, 252, 500, 319]",0.6298831105232239,0.015996694564819336
Camera: 0,红细胞,"[575, 496, 638, 552]",0.7948986887931824,0.015996694564819336
Camera: 0,红细胞,"[446, 48, 500, 171]",0.8315457701683044,0.015996694564819336
Camera: 0,红细胞,"[561, 3, 638, 149]",0.8677552938461304,0.015996694564819336
Camera: 0,中性粒细胞,"[304, 332, 447, 552]",0.8933114409446716,0.015996694564819336
Camera: 0,红细胞,"[514, 319, 616, 380]",0.8942772150039673,0.015996694564819336
Camera: 0,中性粒细胞,"[221, 108, 334, 319]",0.8968623280525208,0.015996694564819336
Camera: 0,红细胞,"[525, 354, 637, 488]",0.9168980717658997,0.015996694564819336
Camera: 0,嗜碱细胞,"[447, 126, 629, 319]",0.9184696078300476,0.015996694564819336
Camera: 0,红细胞,"[446, 386, 557, 539]",0.9318504333496094,0.015996694564819336
Camera: 0,嗜碱细胞,"[446, 319, 528, 407]",0.34458720684051514,0.021996498107910156
Camera: 0,红细胞,"[603, 145, 639, 309]",0.5057210922241211,0.021996498107910156
Camera: 0,红细胞,"[445, 0, 520, 50]",0.5585523843765259,0.021996498107910156
Camera: 0,红细胞,"[446, 0, 564, 93]",0.5996538996696472,0.021996498107910156
Camera: 0,红细胞,"[446, 252, 500, 319]",0.6313217282295227,0.021996498107910156
Camera: 0,红细胞,"[575, 496, 638, 552]",0.7946049571037292,0.021996498107910156
Camera: 0,红细胞,"[446, 48, 500, 171]",0.8300362825393677,0.021996498107910156
Camera: 0,红细胞,"[560, 3, 638, 149]",0.8671141266822815,0.021996498107910156
Camera: 0,中性粒细胞,"[304, 333, 447, 552]",0.893406867980957,0.021996498107910156
Camera: 0,红细胞,"[514, 319, 616, 380]",0.89430171251297,0.021996498107910156
Camera: 0,中性粒细胞,"[221, 108, 334, 319]",0.897023618221283,0.021996498107910156
Camera: 0,红细胞,"[525, 354, 637, 488]",0.9162216782569885,0.021996498107910156
Camera: 0,嗜碱细胞,"[447, 126, 629, 319]",0.9177732467651367,0.021996498107910156
Camera: 0,红细胞,"[446, 386, 557, 539]",0.9317755699157715,0.021996498107910156
Camera: 0,嗜碱细胞,"[446, 319, 528, 407]",0.3454606831073761,0.01600027084350586
Camera: 0,红细胞,"[603, 145, 639, 309]",0.5053028464317322,0.01600027084350586
Camera: 0,红细胞,"[445, 0, 520, 50]",0.5643377900123596,0.01600027084350586
Camera: 0,红细胞,"[446, 0, 564, 93]",0.5950745940208435,0.01600027084350586
Camera: 0,红细胞,"[446, 252, 500, 319]",0.6315359473228455,0.01600027084350586
Camera: 0,红细胞,"[575, 496, 638, 552]",0.7940791845321655,0.01600027084350586
Camera: 0,红细胞,"[446, 47, 500, 171]",0.8304649591445923,0.01600027084350586
Camera: 0,红细胞,"[561, 3, 638, 149]",0.867082417011261,0.01600027084350586
Camera: 0,中性粒细胞,"[304, 333, 447, 552]",0.8931668400764465,0.01600027084350586
Camera: 0,红细胞,"[514, 319, 616, 380]",0.8941806554794312,0.01600027084350586
Camera: 0,中性粒细胞,"[221, 108, 334, 319]",0.8971460461616516,0.01600027084350586
Camera: 0,红细胞,"[525, 354, 637, 488]",0.9161544442176819,0.01600027084350586
Camera: 0,嗜碱细胞,"[447, 125, 629, 319]",0.9179868698120117,0.01600027084350586
Camera: 0,红细胞,"[446, 386, 557, 539]",0.9315361380577087,0.01600027084350586
Camera: 0,单核细胞,"[332, 127, 546, 423]",0.8612226247787476,0.01900029182434082
Camera: 0,单核细胞,"[332, 127, 546, 423]",0.8612489700317383,0.014998435974121094
Camera: 0,单核细胞,"[332, 127, 546, 423]",0.8612158298492432,0.015001535415649414
Camera: 0,单核细胞,"[332, 127, 546, 423]",0.8612098097801208,0.016004562377929688
Camera: 0,单核细胞,"[332, 127, 546, 423]",0.8610627055168152,0.014998912811279297
Camera: 0,单核细胞,"[331, 126, 544, 424]",0.876807451248169,0.014998197555541992
Camera: 0,单核细胞,"[331, 126, 544, 423]",0.8762542605400085,0.014999628067016602
Camera: 0,单核细胞,"[331, 126, 544, 423]",0.8762640357017517,0.018996715545654297
Camera: 0,单核细胞,"[331, 126, 544, 423]",0.8762754201889038,0.018013715744018555
Camera: 0,单核细胞,"[331, 126, 544, 423]",0.8763061761856079,0.01999974250793457
Camera: 0,单核细胞,"[334, 135, 547, 421]",0.8649280667304993,0.018002033233642578
Camera: 0,单核细胞,"[334, 135, 547, 421]",0.8649544715881348,0.016996383666992188
Camera: 0,单核细胞,"[334, 135, 547, 421]",0.864933967590332,0.014999628067016602
Camera: 0,单核细胞,"[334, 135, 547, 421]",0.8649161458015442,0.015995502471923828
Camera: 0,单核细胞,"[334, 135, 547, 421]",0.8648714423179626,0.015996217727661133
Camera: 0,单核细胞,"[332, 129, 544, 423]",0.877498209476471,0.015002012252807617
Camera: 0,单核细胞,"[332, 129, 544, 423]",0.8775536417961121,0.017996788024902344
Camera: 0,单核细胞,"[331, 129, 544, 423]",0.8774154186248779,0.016001462936401367
Camera: 0,单核细胞,"[332, 128, 544, 423]",0.8770720958709717,0.01899886131286621
Camera: 0,单核细胞,"[332, 128, 544, 423]",0.8770523071289062,0.018001079559326172
Camera: 0,单核细胞,"[333, 135, 547, 422]",0.8685237765312195,0.019002199172973633
Camera: 0,单核细胞,"[333, 135, 547, 422]",0.8685107231140137,0.014998674392700195
Camera: 0,单核细胞,"[333, 135, 547, 422]",0.8684950470924377,0.014940977096557617
Camera: 0,单核细胞,"[333, 135, 547, 422]",0.8685207962989807,0.015997648239135742
Camera: 0,单核细胞,"[333, 135, 547, 422]",0.8685162663459778,0.018998146057128906
Camera: 0,单核细胞,"[333, 127, 547, 422]",0.8606710433959961,0.016997814178466797
Camera: 0,单核细胞,"[333, 127, 547, 422]",0.8606660962104797,0.01599717140197754
Camera: 0,单核细胞,"[333, 127, 547, 422]",0.8606382012367249,0.014997243881225586
Camera: 0,单核细胞,"[333, 127, 547, 422]",0.8605599999427795,0.015002012252807617
Camera: 0,单核细胞,"[333, 128, 547, 422]",0.8578411936759949,0.018999814987182617
Camera: 0,嗜酸细胞,"[304, 141, 506, 414]",0.9232053160667419,0.019000768661499023
Camera: 0,嗜酸细胞,"[304, 141, 506, 414]",0.9232305884361267,0.01700592041015625
Camera: 0,嗜酸细胞,"[304, 141, 506, 414]",0.9232210516929626,0.015961408615112305
Camera: 0,嗜酸细胞,"[304, 141, 506, 414]",0.923224925994873,0.01499795913696289
Camera: 0,嗜酸细胞,"[304, 141, 506, 414]",0.9231968522071838,0.015002012252807617
Camera: 0,嗜酸细胞,"[305, 144, 508, 416]",0.9248974323272705,0.0159909725189209
Camera: 0,嗜酸细胞,"[305, 144, 508, 416]",0.9249053001403809,0.013997554779052734
Camera: 0,嗜酸细胞,"[306, 144, 508, 416]",0.9248968362808228,0.01699972152709961
Camera: 0,嗜酸细胞,"[305, 144, 508, 416]",0.9248939752578735,0.01899862289428711
Camera: 0,嗜酸细胞,"[306, 144, 508, 416]",0.9249157905578613,0.018004417419433594
Camera: 0,嗜酸细胞,"[304, 143, 507, 416]",0.9246987104415894,0.017001867294311523
Camera: 0,嗜酸细胞,"[304, 143, 507, 416]",0.9241673350334167,0.01800251007080078
Camera: 0,嗜酸细胞,"[304, 143, 507, 416]",0.9245707988739014,0.014998912811279297
Camera: 0,嗜酸细胞,"[304, 143, 507, 416]",0.9245757460594177,0.014998197555541992
Camera: 0,嗜酸细胞,"[304, 143, 507, 416]",0.9245813488960266,0.017000198364257812
Camera: 0,嗜酸细胞,"[304, 141, 507, 414]",0.9198078513145447,0.07300043106079102
Camera: 0,嗜酸细胞,"[304, 141, 507, 414]",0.9197868704795837,0.01999950408935547
Camera: 0,嗜酸细胞,"[304, 141, 507, 414]",0.9198205471038818,0.02800154685974121
Camera: 0,嗜酸细胞,"[304, 141, 507, 414]",0.9198148846626282,0.02299952507019043
Camera: 0,嗜酸细胞,"[304, 141, 507, 414]",0.9198123812675476,0.018998384475708008
Camera: 0,嗜酸细胞,"[305, 142, 508, 415]",0.9239978790283203,0.018859148025512695
Camera: 0,嗜酸细胞,"[305, 142, 508, 415]",0.9240140318870544,0.018997907638549805
Camera: 0,嗜酸细胞,"[305, 142, 508, 415]",0.9239988923072815,0.021999835968017578
Camera: 0,嗜酸细胞,"[305, 142, 508, 415]",0.9237156510353088,0.01801133155822754
Camera: 0,嗜酸细胞,"[306, 142, 508, 415]",0.9243562817573547,0.026998281478881836
Camera: 0,嗜酸细胞,"[303, 144, 505, 416]",0.9231728911399841,0.019001245498657227
Camera: 0,嗜酸细胞,"[303, 144, 505, 416]",0.9231710433959961,0.018000125885009766
Camera: 0,嗜酸细胞,"[303, 144, 505, 416]",0.9231469035148621,0.01899576187133789
Camera: 0,嗜酸细胞,"[303, 144, 505, 417]",0.9230772852897644,0.021999597549438477
Camera: 0,嗜酸细胞,"[303, 144, 506, 417]",0.92290860414505,0.018999576568603516
Camera: 0,中性粒细胞,"[330, 174, 529, 397]",0.9281189441680908,0.019001483917236328
Camera: 0,中性粒细胞,"[330, 174, 529, 397]",0.9281202554702759,0.017999887466430664
Camera: 0,中性粒细胞,"[330, 174, 529, 397]",0.9280956387519836,0.01700115203857422
Camera: 0,中性粒细胞,"[330, 174, 529, 397]",0.9281164407730103,0.021384477615356445
Camera: 0,中性粒细胞,"[330, 174, 529, 397]",0.9281215667724609,0.02000117301940918
Camera: 0,中性粒细胞,"[332, 174, 531, 399]",0.9269117712974548,0.016997575759887695
Camera: 0,中性粒细胞,"[332, 174, 531, 398]",0.9280450940132141,0.01828312873840332
Camera: 0,中性粒细胞,"[332, 174, 531, 398]",0.9280452132225037,0.01999068260192871
Camera: 0,中性粒细胞,"[332, 174, 531, 398]",0.92803955078125,0.019999265670776367
Camera: 0,中性粒细胞,"[332, 174, 531, 398]",0.9280661344528198,0.01600027084350586
Camera: 0,中性粒细胞,"[330, 174, 530, 398]",0.9268200993537903,0.019997596740722656
Camera: 0,中性粒细胞,"[330, 174, 530, 398]",0.9268366098403931,0.016997098922729492
Camera: 0,中性粒细胞,"[330, 174, 530, 398]",0.9268413782119751,0.016997098922729492
Camera: 0,中性粒细胞,"[330, 174, 530, 398]",0.9268237948417664,0.02500152587890625
Camera: 0,中性粒细胞,"[330, 174, 530, 398]",0.926803708076477,0.013999223709106445
Camera: 0,中性粒细胞,"[330, 171, 529, 395]",0.9209975600242615,0.014001607894897461
Camera: 0,中性粒细胞,"[330, 171, 529, 395]",0.9210346937179565,0.014995574951171875
Camera: 0,中性粒细胞,"[330, 171, 529, 395]",0.9214513301849365,0.017998456954956055
Camera: 0,中性粒细胞,"[332, 171, 528, 396]",0.9226093888282776,0.02099895477294922
Camera: 0,中性粒细胞,"[332, 171, 528, 396]",0.9225953817367554,0.018999576568603516
Camera: 0,中性粒细胞,"[332, 171, 529, 397]",0.9233183860778809,0.017000913619995117
Camera: 0,中性粒细胞,"[332, 171, 529, 397]",0.9232879281044006,0.015998125076293945
Camera: 0,中性粒细胞,"[332, 171, 529, 397]",0.9233309030532837,0.016000032424926758
Camera: 0,中性粒细胞,"[332, 171, 529, 397]",0.9233084321022034,0.014998435974121094
Camera: 0,中性粒细胞,"[332, 171, 529, 397]",0.9233139157295227,0.016996145248413086
Camera: 0,中性粒细胞,"[329, 174, 529, 398]",0.9271721839904785,0.02000260353088379
Camera: 0,中性粒细胞,"[329, 174, 529, 398]",0.927137017250061,0.019998788833618164
Camera: 0,中性粒细胞,"[329, 174, 529, 398]",0.9271345734596252,0.016000032424926758
Camera: 0,中性粒细胞,"[330, 174, 529, 398]",0.9253435730934143,0.01600050926208496
Camera: 0,中性粒细胞,"[330, 179, 529, 398]",0.9262761473655701,0.015000343322753906
14-血细胞检测.mp4,单核细胞,"[159, 136, 498, 483]",0.8133468627929688,0.019980192184448242
14-血细胞检测.mp4,单核细胞,"[160, 136, 498, 483]",0.8135235905647278,0.017000198364257812
14-血细胞检测.mp4,单核细胞,"[160, 136, 498, 483]",0.8135403394699097,0.01799607276916504
14-血细胞检测.mp4,单核细胞,"[159, 136, 498, 483]",0.8133522272109985,0.017999887466430664
14-血细胞检测.mp4,单核细胞,"[160, 136, 498, 483]",0.8135484457015991,0.015997886657714844
14-血细胞检测.mp4,单核细胞,"[160, 136, 498, 483]",0.813554048538208,0.016000747680664062
14-血细胞检测.mp4,单核细胞,"[159, 136, 498, 483]",0.8138286471366882,0.016005277633666992
14-血细胞检测.mp4,单核细胞,"[160, 136, 498, 483]",0.8140194416046143,0.01599884033203125
14-血细胞检测.mp4,单核细胞,"[160, 136, 498, 483]",0.8140941262245178,0.020998477935791016
14-血细胞检测.mp4,单核细胞,"[159, 136, 498, 483]",0.8144261240959167,0.021999835968017578
